episode,delay,fidelity
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,50,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,100,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,200,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
0,400,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,0,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,50,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,100,1.0
1,200,1.0
